Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,temperature,wind_speed,precipitation
29/11/14,Paris SG,Nice,1,0,H,1,0,H,,10,9,2,4,7,12,4,5,1,2,0,0,8.520833333333334,10.741666666666665,0.0
29/11/14,Reims,Bastia,2,1,H,1,1,D,,11,7,4,3,14,10,6,3,0,1,0,0,5.658333333333332,13.529166666666669,0.0
29/11/14,Rennes,Monaco,2,0,H,2,0,H,,6,9,3,3,10,9,5,7,1,2,0,0,12.566666666666668,12.699999999999998,0.0
29/11/14,Toulouse,Lorient,2,3,A,1,0,H,,14,15,4,9,15,7,1,4,1,0,0,0,15.716666666666669,31.025000000000002,13.0
30/11/14,Bordeaux,Lille,1,0,H,0,0,D,,13,7,2,1,8,11,5,2,0,1,0,0,14.862500000000002,15.566666666666665,1.9000000000000001
30/11/14,Evian Thonon Gaillard,Guingamp,2,0,H,0,0,D,,9,12,3,5,13,8,4,5,1,1,0,0,8.975000000000001,4.070833333333333,0.7999999999999999
30/11/14,St Etienne,Lyon,3,0,H,2,0,H,,11,12,5,3,22,13,4,6,1,0,0,0,8.791666666666666,7.391666666666666,2.1999999999999997
02/12/14,Lorient,Marseille,1,1,D,1,1,D,,11,16,3,8,9,14,4,5,0,1,0,0,9.899999999999999,26.174999999999994,0.2
02/12/14,Monaco,Lens,2,0,H,0,0,D,,8,14,5,3,12,19,5,2,0,2,1,0,13.420833333333334,4.395833333333333,0.1
02/12/14,Nantes,Toulouse,1,2,A,0,1,A,,17,8,4,2,10,15,3,4,1,3,0,0,8.666666666666666,15.054166666666667,0.30000000000000004
03/12/14,Bastia,Evian Thonon Gaillard,1,2,A,1,0,H,,10,8,3,4,18,13,10,2,4,3,0,0,14.108333333333334,13.900000000000006,0.5
03/12/14,Guingamp,Caen,5,1,H,2,1,H,,17,5,9,2,9,13,6,4,2,1,0,1,7.5583333333333345,30.666666666666668,6.6
03/12/14,Lille,Paris SG,1,1,D,1,1,D,,18,15,5,8,14,16,2,7,0,1,0,0,1.1083333333333334,14.825000000000001,0.7
03/12/14,Metz,Bordeaux,0,0,D,0,0,D,,10,13,4,1,21,15,4,3,3,2,0,0,1.7249999999999999,12.300000000000002,1.0
03/12/14,Montpellier,St Etienne,0,2,A,0,2,A,,9,9,3,6,10,22,6,3,2,0,0,1,7.770833333333332,16.825000000000003,0.0
03/12/14,Nice,Rennes,1,2,A,0,1,A,,10,4,3,2,13,16,7,0,2,1,0,0,12.583333333333334,4.616666666666666,1.7
04/12/14,Lyon,Reims,2,1,H,1,1,D,,17,12,5,5,20,14,4,3,1,1,0,0,4.758333333333334,3.7125,3.9999999999999996
05/12/14,Toulouse,Monaco,0,2,A,0,1,A,,11,10,1,5,15,13,6,7,1,2,0,0,6.154166666666666,9.495833333333332,1.8000000000000003
06/12/14,Bordeaux,Lorient,3,2,H,1,1,D,,23,15,11,4,8,6,13,5,0,1,0,0,5.216666666666667,12.725000000000001,0.0
06/12/14,Caen,Nice,2,3,A,2,1,H,,15,18,5,10,18,14,7,5,2,1,0,0,4.020833333333334,10.5625,0.4
06/12/14,Paris SG,Nantes,2,1,H,1,1,D,,12,3,4,2,10,16,5,2,1,2,0,0,3.9125,12.212499999999999,0.0
06/12/14,Rennes,Montpellier,0,4,A,0,1,A,,15,11,3,10,9,14,7,2,2,1,0,0,4.2250000000000005,10.899999999999999,0.0
06/12/14,St Etienne,Bastia,1,0,H,0,0,D,,14,12,2,3,10,10,5,3,1,1,0,0,2.183333333333334,21.733333333333334,0.7999999999999999
07/12/14,Evian Thonon Gaillard,Lyon,2,3,A,1,0,H,,6,20,2,8,16,22,1,6,2,3,0,0,3.225,7.854166666666667,0.4
07/12/14,Lens,Lille,1,1,D,0,0,D,,14,5,3,2,18,6,10,2,4,1,0,0,3.5500000000000003,15.554166666666665,2.6000000000000005
07/12/14,Marseille,Metz,3,1,H,1,0,H,,16,14,7,5,9,9,4,5,0,1,0,0,7.200000000000002,20.38333333333333,0.2
07/12/14,Reims,Guingamp,2,3,A,1,1,D,,14,7,5,5,15,21,7,3,2,3,0,0,3.8458333333333328,12.058333333333335,2.5
12/12/14,Lyon,Caen,3,0,H,1,0,H,,23,9,12,2,9,17,7,2,1,2,0,0,6.7875000000000005,13.662500000000001,0.0
13/12/14,Bastia,Rennes,2,0,H,1,0,H,,16,5,6,1,17,6,6,2,3,2,0,1,13.324999999999998,8.433333333333332,0.0
13/12/14,Lorient,Metz,3,1,H,3,0,H,,21,11,8,2,7,17,3,7,1,1,0,0,6.591666666666666,24.10000000000001,11.799999999999999
13/12/14,Montpellier,Lens,3,3,D,2,2,D,,12,16,5,7,15,30,5,3,2,2,0,0,12.179166666666667,23.85833333333333,3.7000000000000015
13/12/14,Nantes,Bordeaux,2,1,H,1,1,D,,6,11,1,5,17,15,3,4,1,1,0,0,6.533333333333332,15.670833333333334,17.000000000000004
13/12/14,Reims,Evian Thonon Gaillard,3,2,H,1,0,H,,14,9,5,5,10,16,5,3,3,3,0,1,5.395833333333333,7.670833333333333,20.3
14/12/14,Guingamp,Paris SG,1,0,H,1,0,H,,7,15,2,3,12,12,4,5,0,3,0,0,5.379166666666666,16.983333333333334,0.0
14/12/14,Lille,Toulouse,3,0,H,1,0,H,,15,3,7,1,16,18,4,1,3,2,0,1,1.4083333333333334,12.462499999999999,0.0
14/12/14,Monaco,Marseille,1,0,H,0,0,D,,12,10,3,3,16,16,6,8,3,2,0,0,12.049999999999999,6.795833333333332,7.7
14/12/14,Nice,St Etienne,0,0,D,0,0,D,,5,11,3,2,12,23,7,6,1,1,1,1,11.199999999999998,6.795833333333332,7.7
19/12/14,Lens,Nice,2,0,H,1,0,H,,10,5,5,1,18,13,5,4,3,2,0,0,9.675000000000002,24.408333333333335,6.699999999999999
